123,2014-01-01 00:00:00.0,3208,Cedarburg Light & Water Comm,WI,0,0,0,0,0,0
124,2014-01-01 00:00:00.0,3222,Central Alabama Electric Coop,AL,159,130,0,0,42020,24.9
125,2014-01-01 00:00:00.0,3226,"Central Rural Electric Cooperative, Inc",OK,256.83,225.67,1.63,1.6,19722,25
126,2014-01-01 00:00:00.0,3235,City of Central City,NE,0,0,0,0,0,0
127,2014-01-01 00:00:00.0,3245,"Central Florida Elec Coop, Inc",FL,227.96,167.93,0,0,32593,25
128,2014-01-01 00:00:00.0,3248,Central Georgia El Member Corp,GA,479,106,2.67,1.34,52913,25
129,2014-01-01 00:00:00.0,3250,Central Electric Membership Corp. - (NC),NC,418.54,117.74,0,0,22051,25
130,2014-01-01 00:00:00.0,3264,Central Lincoln People's Ut Dt,OR,0.795,0,0.199,0,38500,0
131,2014-01-01 00:00:00.0,3265,Cleco Power LLC,LA,0,0,0,0,0,0
132,2014-01-01 00:00:00.0,3266,Central Maine Power Co,ME,12.7,3.29,12.7,2.34,614277,34.5
133,2014-01-01 00:00:00.0,3268,Central Missouri Elec Coop Inc,MO,141.258,125.391,0,0,10558,25
134,2014-01-01 00:00:00.0,3273,"Central New Mexico El Coop, Inc",NM,0,0,0,0,0,0
135,2014-01-01 00:00:00.0,3278,AEP Texas Central Company,TX,182.3,136.7,1.887,1.449,813976,35
136,2014-01-01 00:00:00.0,3282,"Central Texas Elec Coop, Inc",TX,0,0,0,0,0,0
137,2014-01-01 00:00:00.0,3287,"Central Valley Elec Coop, Inc",NM,1.11,1.11,0.342,0.342,15040,25
138,2014-01-01 00:00:00.0,3291,Central Virginia Electric Coop,VA,432.6,350.4,2.97,0,35323,24.9
139,2014-01-01 00:00:00.0,3295,City of Centralia - (WA),WA,104.398,74.421,0.7,0.6,10030,12.5
140,2014-01-01 00:00:00.0,3314,"Chariton Valley Elec Coop, Inc",IA,38,38,0.59,0.59,5806,24.9
141,2014-01-01 00:00:00.0,3315,"Charles Mix Electric Assn, Inc",SD,0,0,0,0,0,0
142,2014-01-01 00:00:00.0,3329,Borough of Chambersburg,PA,0,0,0,0,0,0
143,2014-01-01 00:00:00.0,3355,City of Chanute,KS,0,0,0,0,0,0
144,2014-01-01 00:00:00.0,3390,"Caddo Electric Coop, Inc",OK,0,0,0,0,0,0
145,2014-01-01 00:00:00.0,3400,City of Chaska - (MN),MN,0,0,0,0,0,0
146,2014-01-01 00:00:00.0,3408,City of Chattanooga - (TN),GA,0,0,0,0,0,0
147,2014-01-01 00:00:00.0,3408,City of Chattanooga - (TN),GA,0,0,0,0,0,0
148,2014-01-01 00:00:00.0,3408,City of Chattanooga - (TN),TN,0,0,0,0,0,0
149,2014-01-01 00:00:00.0,3408,City of Chattanooga - (TN),TN,0,0,0,0,0,0
150,2014-01-01 00:00:00.0,3413,PUD No 1 of Chelan County,WA,0,0,0,0,0,0
