79,2013-01-01 00:00:00.0,4430,871,0,1,0,0,33
80,2013-01-01 00:00:00.0,4432,11700,58,15,8,116,0
81,2013-01-01 00:00:00.0,4509,0,14,14.6,0,0,238
82,2013-01-01 00:00:00.0,4538,2,0,12,9,0,0
83,2013-01-01 00:00:00.0,4675,457,0,10.8,2.6,21,0
84,2013-01-01 00:00:00.0,4704,472,0,1.8,1.3,29,20
85,2013-01-01 00:00:00.0,4911,0,0,89.7,70.2,0,221
86,2013-01-01 00:00:00.0,5027,159053,659,35.9,35.9,2485,7207
87,2013-01-01 00:00:00.0,5027,26584,506,7.2,7.2,2119,3743
88,2013-01-01 00:00:00.0,5056,2554,29,2,2,105,0
89,2013-01-01 00:00:00.0,5070,66092,62,45.8,38.5,1560,0
90,2013-01-01 00:00:00.0,5111,1602,526,20.7,0,755,61
91,2013-01-01 00:00:00.0,5335,4,0,2.9,2.5,157,0
92,2013-01-01 00:00:00.0,5336,5,2,1.9,1.4,2,0
93,2013-01-01 00:00:00.0,5416,135622,1776,561.6,0,14124,5116
94,2013-01-01 00:00:00.0,5416,49788,480,246.9,0,4708,1705
95,2013-01-01 00:00:00.0,5417,3931,0,14.5,10,316,101
96,2013-01-01 00:00:00.0,5552,0,0,72.2,72.2,0,393
97,2013-01-01 00:00:00.0,5575,911,347,4.3,4.3,42,99
98,2013-01-01 00:00:00.0,5580,15399,180,189.2,18.3,12846,2851
99,2013-01-01 00:00:00.0,5585,4359,0,14,3,0,0
100,2013-01-01 00:00:00.0,5632,5469,0,13.2,8,646,79
101,2013-01-01 00:00:00.0,5701,4,0,0,0,0,0
102,2013-01-01 00:00:00.0,5701,22,12,9,9,465,0
103,2013-01-01 00:00:00.0,5780,1097,0,43.6,43.6,0,0
104,2013-01-01 00:00:00.0,5860,3,0,8.4,0,4048,0
105,2013-01-01 00:00:00.0,5880,1,0,1,1,0,0
106,2013-01-01 00:00:00.0,5905,457,0,9.7,0,0,15700
107,2013-01-01 00:00:00.0,6151,3841,107,5,3,21,6
108,2013-01-01 00:00:00.0,6181,3193,2428,6.2,4.7,22,19
109,2013-01-01 00:00:00.0,6342,6915,889,78.3,18,3609,10
110,2013-01-01 00:00:00.0,6395,321,0,0.2,0,47,0
111,2013-01-01 00:00:00.0,6411,530,100,27,10,429,652
112,2013-01-01 00:00:00.0,6431,360,0,0.8,0.8,6,2
113,2013-01-01 00:00:00.0,6443,3741,0,3,0,110,0
114,2013-01-01 00:00:00.0,6452,847462,119,30,0,104176,18292
115,2013-01-01 00:00:00.0,6455,396505,172,995,0,50733,21281
116,2013-01-01 00:00:00.0,6604,2795,0,10,5.2,103,5
117,2013-01-01 00:00:00.0,6640,4,0,0,0,1657,0
118,2013-01-01 00:00:00.0,6782,2014,0,17.8,10.9,287,87
119,2013-01-01 00:00:00.0,6804,508,0,1.2,0.4,15,3
120,2013-01-01 00:00:00.0,7004,125682,1415,38.9,38.9,60,85
121,2013-01-01 00:00:00.0,7140,51146,0,357.9,0,10503,120
122,2013-01-01 00:00:00.0,7349,4975,0,54.9,0,2469,11
123,2013-01-01 00:00:00.0,7489,1076,8,6.5,3.3,43,3
124,2013-01-01 00:00:00.0,7490,1,0,16.4,13,0,0
125,2013-01-01 00:00:00.0,7570,239950,23080,420,404,851,5149
126,2013-01-01 00:00:00.0,7634,2,3,0,0,470,0
127,2013-01-01 00:00:00.0,7720,2490,0,2,1,14,8
128,2013-01-01 00:00:00.0,7785,659,0,1,0,0,0
129,2013-01-01 00:00:00.0,7801,12657,8831,79.4,79.4,10597,15638
130,2013-01-01 00:00:00.0,7887,1,4,1,1,6,0
131,2013-01-01 00:00:00.0,8179,1114,0,1,0.2,23174,0
132,2013-01-01 00:00:00.0,8210,0,120,6,6,40,0
133,2013-01-01 00:00:00.0,8288,225,3,0,0,0,0
134,2013-01-01 00:00:00.0,8298,3299,0,8.8,6.1,0,185
135,2013-01-01 00:00:00.0,8319,29,0,13.7,12.9,0,124
136,2013-01-01 00:00:00.0,8333,2519,1,3.8,1.3,0,0
137,2013-01-01 00:00:00.0,8570,14,0,1.4,0,6,8
138,2013-01-01 00:00:00.0,8574,4752,0,19.7,14.1,1003,217
139,2013-01-01 00:00:00.0,8901,552,459,162.9,153,5221,351
140,2013-01-01 00:00:00.0,8924,0,50,20,12,0,0
141,2013-01-01 00:00:00.0,9191,95,0,32.5,32.5,2498,2784
142,2013-01-01 00:00:00.0,9191,5,0,10,10,132,67
143,2013-01-01 00:00:00.0,9209,110,1,4,4,0,20
144,2013-01-01 00:00:00.0,9231,2,0,2,0,0,0
145,2013-01-01 00:00:00.0,9267,13460,0,9.4,1.1,0,235
146,2013-01-01 00:00:00.0,9273,34996,104,76.5,26.2,1404,1171
147,2013-01-01 00:00:00.0,9324,6584,0,303.7,296.1,0,0
148,2013-01-01 00:00:00.0,9417,50439,2065,299.9,0,26505,519
149,2013-01-01 00:00:00.0,9417,12,13,1.7,0,392,0
150,2013-01-01 00:00:00.0,9576,149,0,0.9,0.8,2,31
151,2013-01-01 00:00:00.0,9590,10,0,0,8,0,0
152,2013-01-01 00:00:00.0,9601,25818,0,12,12,409,28
153,2013-01-01 00:00:00.0,9616,33929,1034,101,63,0,0
154,2013-01-01 00:00:00.0,9617,36,0,232,163,2190,0
155,2013-01-01 00:00:00.0,9726,14869,94,21.9,21.9,0,1122
156,2013-01-01 00:00:00.0,9750,1894,0,2.5,2.3,140,74
157,2013-01-01 00:00:00.0,9778,2,36,0.8,0.6,28,2
158,2013-01-01 00:00:00.0,9922,3184,1,1.1,1.1,1227,0
159,2013-01-01 00:00:00.0,9996,919,0,1,0,474,0
160,2013-01-01 00:00:00.0,10000,20170,0,49,49,584,132
161,2013-01-01 00:00:00.0,10000,22471,0,67,67,2035,208
162,2013-01-01 00:00:00.0,10005,27234,0,90.5,0,5517,0
163,2013-01-01 00:00:00.0,10065,500,2,2,0,25,0
164,2013-01-01 00:00:00.0,10153,29,1376,25.2,10.1,6,56
165,2013-01-01 00:00:00.0,10171,73282,1754,83,83,1,4
166,2013-01-01 00:00:00.0,10558,111,0,14.8,2.5,6,11
167,2013-01-01 00:00:00.0,10595,3,0,5,4.5,100,1
168,2013-01-01 00:00:00.0,10625,0,0,10,0,445,91
169,2013-01-01 00:00:00.0,10768,2000,8,9.8,7.1,0,0
170,2013-01-01 00:00:00.0,10857,22901,1676,39.5,26,1822,135
