1074,12899,Mor-Gran-Sou Electric Coop Inc,ND,Cooperative,MRO
1075,12900,City of Mora - (MN),MN,Municipal,MRO
1076,12901,Mora-San Miguel Elec Coop,NM,Cooperative,WECC
1077,12915,Moreau-Grand Electric Coop Inc,SD,Cooperative,MRO
1078,12917,Morgan Stanley Capital Grp Inc,NY,Wholesale Power Marketer,RFC
1079,12919,Morenci Water and Electric,AZ,Investor Owned,WECC
1080,12927,Morgan City - (LA),LA,Municipal,SPP
1081,12929,South Central Indiana REMC,IN,Cooperative,RFC
1082,12944,City of Morganton - (NC),NC,Municipal,SERC
1083,12988,City of Morristown - (TN),TN,Municipal,SERC
1084,12989,Village of Morrisville - (VT),VT,Municipal,NPCC
1085,12990,Consolidated Electric Coop Inc,OH,Cooperative,RFC
1086,13026,City of Moultrie - (GA),GA,Municipal,SERC
1087,13027,"Mountain Electric Coop, Inc",TN,Cooperative,SERC
1088,13029,City of Moundridge - (KS),KS,Municipal,SPP
1089,13032,Mt Carmel Public Utility Co,IL,Investor Owned,SERC
1090,13036,Village of Mt. Horeb - (WI),WI,Municipal,MISO
1091,13038,City of Mt Pleasant - (IA),IA,Municipal,MRO
1092,13039,City of Mt Pleasant - (TN),TN,Municipal,SERC
1093,13040,City of Mount Vernon - (MO),MO,Municipal,SPP
1094,13050,"Mountain Parks Electric, Inc",CO,Cooperative,WECC
1095,13058,"Mountain View Elec Assn, Inc",CO,Cooperative,WECC
1096,13073,"Mt Wheeler Power, Inc",NV,Cooperative,WECC
1097,13095,City of Mulvane - (KS),KS,Municipal,SPP
1098,13100,Municipal Electric Authority,GA,Municipal Mktg Authority,SERC
1099,13119,City of Murfreesboro,TN,Municipal,SERC
1100,13137,City of Murray - (UT),UT,Municipal,WECC
1101,13138,City of Murray - (KY),KY,Municipal,SERC
1102,13143,Board of Water Electric & Communications,IA,Municipal,MRO
1103,13144,City of Muscle Shoals,AL,Municipal,SERC
1104,13145,Village of Muscoda - (WI),WI,Municipal,MISO
1105,13190,"N W Electric Power Coop, Inc",MO,Cooperative,SERC
1106,13196,Northern Plains Electric Coop,ND,Cooperative,MRO
2048,55841,APNA Energy,TX,Retail Power Marketer,ERCOT
2049,55874,"Energy Services Providers, Inc",MA,Retail Power Marketer,NYISO
2050,55875,StarTex Power,TX,Retail Power Marketer,ERCOT
2051,55878,Hudson Energy Services,NY,Retail Power Marketer,NYISO
2052,55897,PSEG Energy Resources and Trade,NJ,Wholesale Power Marketer,NYISO
2053,55936,Entergy Gulf States - LA LLC,LA,Investor Owned,SERC
2054,55937,Entergy Texas Inc.,TX,Investor Owned,SERC
2055,55959,Roughrider Electric Cooperativ,ND,Cooperative,MRO
2056,55962,City of Victorville - (CA),CA,Municipal,CAISO
2057,55982,Heart of Texas Electric Coop,TX,Cooperative,ERCOT
2058,56068,ITC Transmission,MI,Transmission,RFC
2059,56146,Black Hills/Colorado Elec.Util,CO,Investor Owned,WECC
2060,56161,ITC Midwest LLC,MI,Transmission,MRO
2061,56162,American Transmission Systems Inc,OH,Transmission,RFC
2062,56163,Michigan Electric Transmission Company,MI,Transmission,RFC
2063,56196,Just Energy New York Corp.,CN,Retail Power Marketer,NYISO
2064,56212,"Ambit Energy Holdings, LLC",TX,Retail Power Marketer,ERCOT
2065,56220,Anthracite Power & Light,PA,Retail Power Marketer,Not Assigned
2066,56223,Macquarie Energy LLC,TX,Wholesale Power Marketer,ERCOT
2067,56248,"Young Energy, LLC",TX,Retail Power Marketer,TRE
2068,56254,"Duquesne Light Energy, LLC",PA,Retail Power Marketer,Not Assigned
2069,56255,"Brilliant Energy, LLC",TX,Retail Power Marketer,ERCOT
2070,56260,OnPAC Energy,TX,Retail Power Marketer,ERCOT
2071,56265,Energy Plus Holdings LLC,PA,Retail Power Marketer,NPCC
2072,56276,TransCanada Energy Marketing ULC,CA,Wholesale Power Marketer,WECC
2073,56279,"Spartan Renewable Energy, Inc",MI,Retail Power Marketer,Not Assigned
2074,56286,"Frontier Utilities, Inc.",TX,Retail Power Marketer,TRE
2075,56288,Luminant Energy,TX,Wholesale Power Marketer,ERCOT
2076,56292,"Bounce Energy, Inc.",TX,Retail Power Marketer,ERCOT
2077,56298,True Electric LLC,TX,Retail Power Marketer,ERCOT
2078,56315,"EDF Industrial Power Services (TX), LLC",TX,Retail Power Marketer,ERCOT
2079,56326,dPi Energy LLC,TX,Retail Power Marketer,ERCOT
2080,56360,Discount Power,TX,Retail Power Marketer,ERCOT
2081,56379,"MC Squared Energy Services, LLC",IL,Retail Power Marketer,PJM
2082,56408,"UGI Energy Services, Inc.",PA,Retail Power Marketer,PJM
2083,56428,"Potentia Energy, LLC",TX,Retail Power Marketer,TRE
2084,56441,Our Energy LLC,TX,Retail Power Marketer,ERCOT
2085,56496,"UP Power Marketing, LLC",MI,Retail Power Marketer,MRO
2086,56501,"Palmco Power NJ, LLC",NY,Retail Power Marketer,Not Assigned
2087,56502,"Duke Energy Retail Sales, LLC",OH,Retail Power Marketer,Not Assigned
2088,56504,Major Energy Electric Services,NY,Retail Power Marketer,NPCC
2089,56521,"Devonshire Energy, LLC",MA,Retail Power Marketer,ISONE
2090,56522,"Backyard Farms Energy, LLC",ME,Retail Power Marketer,ISONE
2091,56526,ITC Great Plains,KS,Transmission,SPP
2092,56528,JP Morgan,TX,Retail Power Marketer,ERCOT
2093,56544,Optim Energy Marketing LLC,MD,Wholesale Power Marketer,TRE
2094,56546,Dominion Energy Marketing Inc.,VA,Wholesale Power Marketer,Not Assigned
2095,56571,AP Holdings LLC,TX,Retail Power Marketer,ERCOT
2096,56573,"Palmco Power PA, LLC",NY,Retail Power Marketer,Not Assigned
2097,56586,Tara Energy Resources,TX,Retail Power Marketer,TRE
2098,56587,"Reach Energy, LLC",TX,Retail Power Marketer,ERCOT
2099,56620,NextEra Retail of Texas LP,TX,Retail Power Marketer,ERCOT
2100,56692,Marin Clean Energy,CA,Retail Power Marketer,WECC
2101,56697,Ameren Illinois Company,MO,Investor Owned,SERC
2102,56734,Smart Prepaid Electric,TX,Retail Power Marketer,ERCOT
2103,56735,"Reliable Power, LLC",NY,Retail Power Marketer,ISONE
2104,56737,"Stream Energy Pennsylvania, LLC",PA,Retail Power Marketer,PJM
2105,56738,Infinite Electric LLC,FL,Retail Power Marketer,TRE
2106,56775,Entrust Energy,TX,Retail Power Marketer,ERCOT
2107,56784,NRG Power Marketing LLC,NJ,Wholesale Power Marketer,NYISO
2108,56793,"Palmco Power CT, LLC",NY,Retail Power Marketer,NYISO
2109,56810,American Light and Power,TX,Retail Power Marketer,ERCOT
2110,56876,"Stream Energy Maryland, LLC",MD,Retail Power Marketer,PJM
2111,56890,Citigroup Energy Inc,TX,Wholesale Power Marketer,ERCOT
2112,56921,BluCo Energy LLC,NY,Retail Power Marketer,NYISO
2113,56961,Veteran Energy LLC,FL,Retail Power Marketer,TRE
2114,56982,PBF Power Marketing LLC,NJ,Retail Power Marketer,NYISO
2115,57037,Reliant Energy Northeast LLC,TX,Retail Power Marketer,ERCOT
2116,57038,"Amerigreen Energy, LLC",PA,Retail Power Marketer,Not Assigned
2117,57040,PNE Energy Supply LLC,NH,Retail Power Marketer,ISONE
2118,57067,GDF Suez Energy Solutions LLC,TX,Retail Power Marketer,Not Assigned
2119,57074,"Stream Energy New Jersey, LLC",NJ,Retail Power Marketer,PJM
2120,57131,American Power Partners LLC,NY,Retail Power Marketer,PJM
2121,57132,"US Retailers, LLC",TX,Retail Power Marketer,ERCOT
2122,57185,"Palmco Power MD, LLC",NY,Retail Power Marketer,NYISO
2123,57192,"EDF Industrial Power Services (NY), LLC",TX,Retail Power Marketer,ERCOT
2124,57205,"EDF Industrial Power Services (IL), LLC",TX,Retail Power Marketer,ERCOT
2125,57298,TAQA Gen X LLC,NY,Wholesale Power Marketer,RFC
2126,57307,"Plymouth Rock Energy, LLC",NY,Retail Power Marketer,NYISO
2127,57313,SolarCity Corporation,CA,Unknown,CAISO
2128,57350,Summer Energy LLC,TX,Retail Power Marketer,ERCOT
2129,57368,NEPM II,FL,Retail Power Marketer,ERCOT
2130,57394,4Change Energy Company,TX,Retail Power Marketer,ERCOT
2131,57426,"Everything Energy, LLC",TX,Retail Power Marketer,ERCOT
2132,57428,Source Power & Gas LLC,TX,Retail Power Marketer,ERCOT
2133,57453,Independence Energy Group LLC,PA,Retail Power Marketer,PJM
2134,57459,"Wolverine Alternative Investments, LLC",IL,Retail Power Marketer,ERCOT
2135,57467,"Palmco Power OH, LLC",NY,Retail Power Marketer,Not Assigned
2136,57483,Liberty Utilities,CA,Investor Owned,WECC
2137,57486,"XOOM Energy Texas, LLC",NC,Retail Power Marketer,ERCOT
2138,57487,"XOOM Energy Connecticut, LLC",NC,Retail Power Marketer,ISONE
